epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.608,2.38615,3.78616,2.35733,0.0064,0.97222,0.23648,0.11747,1.83691,3.11776,2.1998,0.00031673,0.00031673,0.00031673
2,283.012,0.82334,1.9662,1.2977,0.97443,0.325,0.57957,0.39478,1.66009,2.53757,1.9373,0.000585767,0.000585767,0.000585767
3,418.674,0.51826,1.51539,1.06723,0.98239,0.97222,0.97002,0.86464,0.67639,1.43164,1.13693,0.000788791,0.000788791,0.000788791
4,553.433,0.41452,1.24089,1.01459,0.99046,0.97222,0.97002,0.89401,0.48178,1.08527,0.99179,0.000925802,0.000925802,0.000925802
5,690.606,0.40572,1.13085,0.99386,0.99322,0.97222,0.97002,0.91981,0.48937,1.05903,0.90405,0.000996799,0.000996799,0.000996799
6,826.465,0.36851,1.0518,0.95396,0.99697,0.97222,0.97002,0.94059,0.37412,0.75734,0.82725,0.000841835,0.000841835,0.000841835
7,986.557,0.33763,0.97379,0.926,0.99583,0.97222,0.97003,0.93458,0.35041,0.73667,0.83892,0.000676802,0.000676802,0.000676802
8,1148.96,0.31928,0.89269,0.93825,0.99741,0.97222,0.97002,0.94811,0.31665,0.6718,0.79299,0.000511769,0.000511769,0.000511769
9,1306.92,0.29926,0.85789,0.92101,0.9957,0.97222,0.97003,0.94181,0.31257,0.65428,0.77649,0.000346736,0.000346736,0.000346736
10,1467.2,0.27407,0.82372,0.91304,0.99598,0.97222,0.97003,0.9508,0.28819,0.62826,0.76605,0.000181703,0.000181703,0.000181703
