epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.336,3.03759,5.24173,2.88859,0.00142,0.55526,0.14905,0.04539,3.95343,5.17649,4.12455,0.00018337,0.00018337,0.00018337
2,260.11,1.84373,3.84679,2.10784,0.00241,0.79342,0.22413,0.12976,3.49235,4.71425,3.91499,0.000345452,0.000345452,0.000345452
3,369.042,1.07791,3.03233,1.56262,0.00537,0.76711,0.50414,0.29601,2.94051,4.41093,3.44675,0.000467927,0.000467927,0.000467927
4,481.045,0.82672,2.61372,1.38946,0.83971,0.47049,0.69942,0.4988,2.49475,3.83182,2.89371,0.000550793,0.000550793,0.000550793
5,591.826,0.66299,2.09097,1.222,0.89973,0.78291,0.79107,0.62964,1.62393,3.28126,2.26146,0.000594052,0.000594052,0.000594052
6,699.138,0.64748,2.0681,1.19119,0.88081,0.78947,0.7922,0.66078,1.42121,2.94578,2.02625,0.000597703,0.000597703,0.000597703
7,807.581,0.61932,1.96938,1.18515,0.97077,0.78611,0.83988,0.73121,0.94223,2.44442,1.40848,0.000561746,0.000561746,0.000561746
8,914.336,0.61699,2.50836,1.19073,0.95031,0.78855,0.86292,0.76436,0.69071,2.32746,1.15649,0.000486181,0.000486181,0.000486181
9,1021.98,0.50937,1.77797,1.06494,0.96661,0.78947,0.864,0.77443,0.66885,2.06233,1.12602,0.000346736,0.000346736,0.000346736
10,1130.11,0.42849,1.66704,1.06027,0.99178,0.78947,0.85982,0.79642,0.57758,1.89456,1.05248,0.000181703,0.000181703,0.000181703
